b,32.08,4,u,g,m,v,2.5,t,f,0,t,g,00360,0,+
a,45.83,10.5,u,g,q,v,5,t,t,07,t,g,00000,0,+
b,56.58,18.5,u,g,d,bb,15,t,t,17,t,g,00000,0,+
b,54.58,9.415,u,g,ff,ff,14.415,t,t,11,t,g,00030,300,+
a,25.75,0.5,u,g,c,h,0.875,t,f,0,t,g,00491,0,+
b,26.00,1,u,g,q,v,1.75,t,f,0,t,g,00280,0,+
b,23.33,11.625,y,p,w,v,0.835,t,f,0,t,g,00160,300,+
b,44.83,7,y,p,c,v,1.625,f,f,0,f,g,00160,2,-
b,20.67,5.29,u,g,q,v,0.375,t,t,01,f,g,00160,0,-
a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,00171,0,-
b,52.50,6.5,u,g,k,v,6.29,t,t,15,f,g,00000,11202,+
b,34.92,5,u,g,x,h,7.5,t,t,06,t,g,00000,1000,+
a,46.67,0.46,u,g,cc,h,0.415,t,t,11,t,g,00440,6,+
a,60.58,16.5,u,g,q,v,11,t,f,0,t,g,00021,10561,+
b,48.75,8.5,u,g,c,h,12.5,t,t,09,f,g,00181,1655,+
b,27.58,2.04,y,p,aa,v,2,t,t,03,t,g,00370,560,+
b,23.08,11.5,u,g,i,v,3.5,t,t,09,f,g,00056,742,+
a,17.58,9,u,g,aa,v,1.375,t,f,0,t,g,00000,0,+
a,18.83,9.54,u,g,aa,v,0.085,t,f,0,f,g,00100,0,+
a,37.75,5.5,u,g,q,v,0.125,t,f,0,t,g,00228,0,+
b,?,0.625,u,g,k,v,0.25,f,f,0,f,g,00380,2010,-
b,30.67,2.5,u,g,cc,h,2.25,f,f,0,t,s,00340,0,-
b,18.58,10.29,u,g,ff,ff,0.415,f,f,0,f,g,00080,0,-
b,28.00,3,u,g,w,v,0.75,f,f,0,t,g,00300,67,-
a,16.00,0.165,u,g,aa,v,1,f,t,02,t,g,00320,1,-
a,30.25,5.5,u,g,k,v,5.5,f,f,0,t,s,00100,0,-
b,23.08,2.5,u,g,ff,ff,0.085,f,f,0,t,g,00100,4208,-
b,16.92,0.335,y,p,k,v,0.29,f,f,0,f,s,00200,0,-
a,22.75,6.165,u,g,aa,v,0.165,f,f,0,f,g,00220,1000,-
b,26.25,1.54,u,g,w,v,0.125,f,f,0,f,g,00100,0,-
b,22.92,0.17,u,g,m,v,0.085,f,f,0,f,s,00000,0,-
b,15.17,7,u,g,e,v,1,f,f,0,f,g,00600,0,-
a,33.08,1.625,u,g,d,v,0.54,f,f,0,t,g,00000,0,-
b,28.92,0.375,u,g,c,v,0.29,f,f,0,f,g,00220,140,-
b,31.25,2.835,u,g,ff,ff,0,f,t,05,f,g,00176,146,-
b,20.00,7,u,g,c,v,0.5,f,f,0,f,g,00000,0,-
?,29.75,0.665,u,g,w,v,0.25,f,f,0,t,g,00300,0,-
a,24.50,2.415,y,p,c,v,0,f,f,0,f,g,00120,0,-
a,18.83,4.415,y,p,c,h,3,t,f,0,f,g,00240,0,+
b,19.17,9.5,u,g,w,v,1.5,t,f,0,f,g,00120,2206,+
a,28.75,3.75,u,g,c,v,1.085,t,t,01,t,g,00371,0,+
a,24.75,3,u,g,q,h,1.835,t,t,19,f,g,00000,500,+
b,43.17,2.25,u,g,i,bb,0.75,t,f,0,f,g,00560,0,-
b,38.58,3.335,u,g,w,v,4,t,t,14,f,g,00383,1344,+
a,25.17,2.875,u,g,x,h,0.875,t,f,0,f,g,00360,0,+
b,25.17,6,u,g,c,v,1,t,t,03,f,g,00000,0,+
b,25.33,0.58,u,g,c,v,0.29,t,t,07,t,g,00096,5124,+
b,38.67,0.21,u,g,k,v,0.085,t,f,0,t,g,00280,0,+
